id,src,dst,name,amount,step,cotype,alertid,issar
0,82,112,c1_1,574.27,1,n_to_1,1,True
1,112,49,c1_2,2036.49,5,1_to_n,1,True
2,112,62,c1_2,2063.62,4,1_to_n,1,True
3,112,95,c1_2,2435.01,5,1_to_n,1,True
4,112,43,c1_2,4649.82,5,1_to_n,1,True
5,49,33,c1_3,253.4,7,n_to_n,1,True
6,49,0,c1_3,393.31,6,n_to_n,1,True
7,49,97,c1_3,259.15,6,n_to_n,1,True
8,49,4,c1_3,277.3,6,n_to_n,1,True
9,49,118,c1_3,365.24,7,n_to_n,1,True
10,49,87,c1_3,467.71,6,n_to_n,1,True
11,62,33,c1_3,297.56,5,n_to_n,1,True
12,62,0,c1_3,331.22,5,n_to_n,1,True
13,62,97,c1_3,455.87,6,n_to_n,1,True
14,62,4,c1_3,396.95,6,n_to_n,1,True
15,62,118,c1_3,408.93,6,n_to_n,1,True
16,62,87,c1_3,152.45,5,n_to_n,1,True
17,95,33,c1_3,358.53,6,n_to_n,1,True
18,95,0,c1_3,420.56,6,n_to_n,1,True
19,95,97,c1_3,343.47,7,n_to_n,1,True
20,95,4,c1_3,526.26,6,n_to_n,1,True
21,95,118,c1_3,540.68,7,n_to_n,1,True
22,95,87,c1_3,221.17,6,n_to_n,1,True
23,43,33,c1_3,784.03,7,n_to_n,1,True
24,43,0,c1_3,827.99,6,n_to_n,1,True
25,43,97,c1_3,569.61,6,n_to_n,1,True
26,43,4,c1_3,688.53,7,n_to_n,1,True
27,43,118,c1_3,1018.94,7,n_to_n,1,True
28,43,87,c1_3,714.23,7,n_to_n,1,True
29,33,42,c1_4,1676.58,8,n_to_1,1,True
30,0,42,c1_4,1953.36,8,n_to_1,1,True
31,97,42,c1_4,1611.82,9,n_to_1,1,True
32,4,42,c1_4,1870.15,9,n_to_1,1,True
33,118,42,c1_4,2310.45,8,n_to_1,1,True
34,87,42,c1_4,1540.0,9,n_to_1,1,True
35,42,74,c1_5,2314.67,10,n_to_n,1,True
36,42,75,c1_5,1866.75,10,n_to_n,1,True
37,42,88,c1_5,3175.13,11,n_to_n,1,True
38,42,52,c1_5,3496.2,10,n_to_n,1,True
39,42,8,c1_11,10115.46,23,1_to_1,1,True
40,74,22,c1_6,354.91,11,n_to_n,1,True
41,74,55,c1_6,303.88,12,n_to_n,1,True
42,74,30,c1_6,359.42,12,n_to_n,1,True
43,74,56,c1_6,196.18,12,n_to_n,1,True
44,74,114,c1_6,281.55,12,n_to_n,1,True
45,74,48,c1_6,373.32,12,n_to_n,1,True
46,74,72,c1_6,239.68,11,n_to_n,1,True
47,74,28,c1_6,182.59,11,n_to_n,1,True
48,75,22,c1_6,182.22,11,n_to_n,1,True
49,75,55,c1_6,229.1,12,n_to_n,1,True
50,75,30,c1_6,206.92,12,n_to_n,1,True
51,75,56,c1_6,161.16,11,n_to_n,1,True
52,75,114,c1_6,209.1,11,n_to_n,1,True
53,75,48,c1_6,173.62,12,n_to_n,1,True
54,75,72,c1_6,223.83,11,n_to_n,1,True
55,75,28,c1_6,462.13,11,n_to_n,1,True
56,88,22,c1_6,320.9,12,n_to_n,1,True
57,88,55,c1_6,494.11,13,n_to_n,1,True
